EventID , Time , Latitude , Longitude , Depth/km , Author , Catalog , Contributor , ContributorID , MagType , Magnitude , MagAuthor , EventLocationName
11167626,2020-01-07T22:48:03,-1.5516,99.4165,28.42,us,NEIC PDE,us,us70006w38,mb,4.6,us,"SOUTHERN SUMATRA, INDONESIA"
11172121,2020-01-17T01:34:44,-4.9258,102.7843,52.78,us,NEIC PDE,us,us700071en,mb,4.6,us,"SOUTHERN SUMATRA, INDONESIA"
11175933,2020-01-27T03:32:36,-5.132,102.3652,34.91,us,NEIC PDE,us,us60007gx6,mb,4.8,us,"SOUTHERN SUMATRA, INDONESIA"
11186235,2020-01-27T08:01:01,-3.7715,101.1315,35,us,NEIC PDE,us,us70007k1k,mb,4,us,"SOUTHERN SUMATRA, INDONESIA"
11177777,2020-01-30T21:53:03,-1.912,99.8976,10,us,NEIC PDE,us,us60007ki4,mb,5.2,us,"SOUTHERN SUMATRA, INDONESIA"
11178671,2020-02-01T09:09:31,-2.9219,101.0474,62.54,us,NEIC PDE,us,us60007m22,mb,5,us,"SOUTHERN SUMATRA, INDONESIA"
11183125,2020-02-02T14:21:55,-3.0186,100.9185,42.1,us,NEIC PDE,us,us70007n4h,mb,4.3,us,"SOUTHERN SUMATRA, INDONESIA"
11187152,2020-02-05T16:49:50,-3.4849,100.5106,10,us,NEIC PDE,us,us70007pfn,mb,4.4,us,"SOUTHERN SUMATRA, INDONESIA"
11184500,2020-02-14T01:47:58,-4.4346,102.8663,65.29,us,NEIC PDE,us,us70007pt0,mb,4.7,us,"SOUTHERN SUMATRA, INDONESIA"
11188036,2020-02-21T22:54:24,-5.1177,102.7216,35,us,NEIC PDE,us,us70007ui7,mb,4.9,us,"SOUTHERN SUMATRA, INDONESIA"
11188989,2020-02-24T20:59:21,-1.984,99.856,10,us,NEIC PDE,us,us70007w28,mb,5.2,us,"SOUTHERN SUMATRA, INDONESIA"
11190906,2020-02-28T14:02:54,-3.9532,103.1223,92.49,us,NEIC PDE,us,us6000863e,Mww,5,us,"SOUTHERN SUMATRA, INDONESIA"
11194061,2020-03-06T19:52:55,-5.2247,102.2062,10,us,NEIC PDE,us,us60008bbr,mb,5,us,"SOUTHERN SUMATRA, INDONESIA"
11195064,2020-03-09T16:02:33,-1.7187,100.4116,63.16,us,NEIC PDE,us,us60008ch4,mb,4.6,us,"SOUTHERN SUMATRA, INDONESIA"
11195625,2020-03-10T14:06:25,-5.8693,102.971,19.97,"us,pt",NEIC PDE,us,"pt20070000,us60008d51",Mww,5.5,us,"SOUTHERN SUMATRA, INDONESIA"
11206830,2020-03-26T19:49:10,-4.6344,101.9548,35,us,NEIC PDE,us,us70008jdj,mb,4.3,us,"SOUTHERN SUMATRA, INDONESIA"
11209085,2020-04-05T22:42:53,-5.2757,102.5135,35,us,NEIC PDE,us,us70008pjp,mb,4.9,us,"SOUTHERN SUMATRA, INDONESIA"
